AGILEMETHODOLOGYTYPE_ID,AGILEMETHODOLOGYTYPE_NAME
1,Kanban
2,Scrum
3,ExtremeProgramming
4,FeatureDrivenDevelopment
5,CrystalMethodology
6,Lean
